Station_name Instrument Component P_phase_onset P_phase_descriptor First_Motion Date Hour_min Seconds Err ErrMag Coda_duration Amplitude Period
EVO ? HHZ ? S ? 20150917 1508 58.750 GAU 5.00E-01 0.0 20000000.00 0.0
EVO ? HHZ ? S ? 20150917 1512 02.930 GAU 5.00E-01 0.0 46700000.00 0.0
EVO ? HHZ ? S ? 20150917 1513 02.610 GAU 1.00E-01 0.0 356000000.00 0.0
EVO ? HHZ ? S ? 20150917 1517 24.720 GAU 5.00E-01 0.0 20200000.00 0.0
EVO ? HHZ ? S ? 20150917 1518 19.430 GAU 5.00E-01 0.0 10600000.00 0.0
IFR ? HHZ ? P ? 20150917 1512 22.830 GAU 4.00E-02 0.0 76000000.00 0.0
OBS01 ? SHZ ? P ? 20150917 1508 25.720 GAU 5.00E-01 0.0 202000000.00 0.0
OBS01 ? SHZ ? P ? 20150917 1512 24.640 GAU 2.00E-02 0.0 2080000000.00 0.0
OBS01 ? SHZ ? P ? 20150917 1512 55.940 GAU 5.00E-01 0.0 3590000000.00 0.0
OBS01 ? SHZ ? S ? 20150917 1512 59.200 GAU 5.00E-01 0.0 3590000000.00 0.0
OBS02 ? SHZ ? P ? 20150917 1512 25.600 GAU 7.00E-02 0.0 2860000000.00 0.0
OBS02 ? SHZ ? S ? 20150917 1512 57.500 GAU 5.00E-01 0.0 6740000000.00 0.0
OBS03 ? SHZ ? P ? 20150917 1512 30.160 GAU 1.50E-01 0.0 2490000000.00 0.0
OBS03 ? SHZ ? S ? 20150917 1512 34.900 GAU 5.00E-01 0.0 2490000000.00 0.0
OBS05 ? SHZ ? P ? 20150917 1512 31.420 GAU 2.00E-02 0.0 164000000.00 0.0
OBS06 ? SHZ ? P ? 20150917 1512 26.800 GAU 4.00E-02 0.0 179000000.00 0.0
OBS06 ? SHZ ? S ? 20150917 1513 01.780 GAU 5.00E-01 0.0 493000000.00 0.0
PVLZ ? HHZ ? P ? 20150917 1508 58.560 GAU 5.00E-01 0.0 71900000.00 0.0
PVLZ ? HHZ ? P ? 20150917 1509 37.970 GAU 5.00E-01 0.0 71000000.00 0.0
PVLZ ? HHZ ? P ? 20150917 1511 27.810 GAU 5.00E-01 0.0 51400000.00 0.0
PVLZ ? HHZ ? S ? 20150917 1512 20.130 GAU 5.00E-01 0.0 66500000.00 0.0
PVLZ ? HHZ ? S ? 20150917 1515 37.230 GAU 5.00E-01 0.0 41500000.00 0.0
UCM ? HHZ ? P ? 20150917 1513 04.750 GAU 7.00E-02 0.0 69900000.00 0.0
UCM ? HHZ ? P ? 20150917 1514 01.610 GAU 5.00E-01 0.0 258000000.00 0.0
UCM ? HHZ ? P ? 20150917 1514 17.400 GAU 5.00E-01 0.0 213000000.00 0.0
