Time,Phase,BackAzimuth,Slowness,Power
2015-09-17T15:12:13.920000,P,100.304846469,0.11,0.951526866229
2015-09-17T15:12:16.770000,P,100.304846469,0.11,0.938004094705
2015-09-17T15:12:50.490000,P,107.354024636,0.16,0.838088459381
2015-09-17T15:12:51.920000,P,107.354024636,0.16,0.830523960052
