Date;Time;Latitude;Longitude;Depth;Magnitude;mag_type
22/12/2022;04:04:36;35.7401;-4.6569;85;3.0;Mw
23/12/2022;21:52:26;35.4106;-3.6304;18.7;3.0;Mw
24/12/2022;00:35:36;35.4332;-3.6261;11.2;3.1;Mw
24/12/2022;08:38:21;35.3208;-4.8226;76.4;3.5;Mw
24/12/2022;16:10:08;35.4525;-3.6029;8.6;3.7;Mw
24/12/2022;18:28:39;35.4761;-3.6272;6.4;3.3;Mw
