AK135
number of layers
145
Parameters of the layers
depth of layer top(km)   Vp(km/s)    Vs(km/s)    Rho(g/cm**3)    Qp     Qs
   4902.24      10.20       0.00      12.00   57822.00       0.00   
   4952.58      10.23       0.00      12.03   57822.00       0.00   
   5002.91      10.26       0.00      12.06   57822.00       0.00   
   5053.24      10.27       0.00      12.09   57822.00       0.00   
   5103.57      10.29       0.00      12.11   57822.00       0.00   
   5153.50      10.29       0.00      12.14   57822.00       0.00   
   5153.50      11.04       3.50      12.70     633.26      85.03   
   5204.61      11.06       3.52      12.73     629.89      85.03   
   5255.32      11.07       3.53      12.75     626.87      85.03   
   5306.04      11.09       3.54      12.78     624.08      85.03   
   5356.75      11.10       3.56      12.80     621.50      85.03   
   5407.46      11.12       3.57      12.82     619.71      85.03   
   5458.17      11.13       3.58      12.84     617.78      85.03   
   5508.89      11.15       3.59      12.86     615.93      85.03   
   5559.60      11.16       3.60      12.88     614.21      85.03   
   5610.31      11.17       3.60      12.89     612.62      85.03   
   5661.02      11.18       3.61      12.91     611.12      85.03   
   5711.74      11.19       3.62      12.92     609.74      85.03   
   5762.45      11.20       3.63      12.94     608.48      85.03   
   5813.16      11.21       3.63      12.95     607.31      85.03   
   5863.87      11.22       3.64      12.96     606.26      85.03   
   5914.59      11.23       3.65      12.97     605.28      85.03   
   5965.30      11.24       3.65      12.98     604.44      85.03   
   6016.01      11.24       3.65      12.99     603.69      85.03   
   6066.72      11.25       3.66      12.99     603.04      85.03   
   6117.44      11.25       3.66      13.00     602.49      85.03   
   6168.15      11.26       3.66      13.00     602.05      85.03   
   6218.86      11.26       3.67      13.01     601.70      85.03   
   6269.57      11.26       3.67      13.01     601.46      85.03   
   6320.29      11.26       3.67      13.01     601.32      85.03   
   6371.00      11.26       3.67      13.01     601.27      85.03   
