period,phase_velocity_rayleigh,phase_velocity_love,group_velocity_rayleigh,group_velocity_love
1.0,1.4674,3.2747,1.4287,3.087
1.1,1.4717,3.2967,1.4222,3.0459
1.2,1.4767,3.324,1.4143,2.9937
1.3,1.4826,3.3577,1.4049,2.9344
1.4,1.4893,3.3982,1.394,2.8773
1.5,1.4971,3.4449,1.3816,2.8333
1.6,1.506,3.4965,1.368,2.809
1.7,1.5161,3.5511,1.3532,2.8052
1.8,1.5275,3.6069,1.3377,2.8201
1.9,1.5402,3.6624,1.3215,2.8511
2.0,1.5543,3.7163,1.3049,2.8957
2.1,1.5699,3.7676,1.288,2.9505
2.2,1.587,3.8157,1.2708,3.0111
2.3,1.6058,3.8604,1.2533,3.0726
2.4,1.6263,3.902,1.2355,3.1312
2.5,1.6487,3.9407,1.2174,3.1842
2.6,1.673,3.9771,1.1988,3.2307
2.7,1.6996,4.0116,1.1798,3.2708
2.8,1.7286,4.0446,1.1604,3.3052
2.9,1.7601,4.0764,1.1404,3.3352
3.0,1.7946,4.1072,1.1201,3.3618
3.2,1.8735,4.1664,1.0786,3.4098
3.4,1.9682,4.2228,1.0376,3.4576
3.6,2.0823,4.2762,1.0009,3.5117
3.8,2.2187,4.326,0.97834,3.5775
4.0,2.3766,4.3713,0.9914,3.6581
4.2,2.5441,4.411,1.0781,3.7546
4.4,2.6976,4.4446,1.263,3.8649
4.6,2.8208,4.4717,1.501,3.9832
4.8,2.9163,4.4925,1.7195,4.1
5.0,2.9931,4.5077,1.8898,4.2036
5.5,3.1426,4.529,2.1525,4.3679
6.0,3.2644,4.5389,2.301,4.4338
6.5,3.3733,4.5448,2.4073,4.4614
7.0,3.4738,4.5493,2.4994,4.475
7.5,3.5672,4.553,2.5905,4.4827
8.0,3.6534,4.5563,2.6857,4.4875
8.5,3.7321,4.5595,2.7845,4.4908
9.0,3.8034,4.5625,2.8817,4.4931
9.5,3.8681,4.5656,2.9697,4.4948
10.0,3.9277,4.5687,3.0401,4.4961
11.0,4.0396,4.575,3.0954,4.4976
12.0,4.1617,4.5818,2.9806,4.4981
13.0,4.3288,4.5891,2.68,4.4978
14.0,4.5361,4.5968,2.9722,4.4969
15.0,4.5953,4.6052,4.2297,4.4955
16.0,4.6113,4.6141,4.4203,4.4936
17.0,4.623,4.6235,4.4622,4.4914
18.0,4.6339,4.6334,4.4765,4.4889
19.0,4.6446,4.6438,4.4822,4.4863
20.0,4.6553,4.6546,4.4841,4.4837
21.0,4.6663,4.6659,4.4842,4.4811
22.0,4.6774,4.6775,4.4832,4.4785
23.0,4.6888,4.6894,4.4816,4.4761
24.0,4.7004,4.7016,4.4796,4.4738
25.0,4.7122,4.7141,4.4774,4.4717
26.0,4.7243,4.7268,4.4752,4.4698
27.0,4.7365,4.7397,4.4729,4.4681
28.0,4.7489,4.7528,4.4707,4.4666
29.0,4.7615,4.766,4.4688,4.4654
30.0,4.7743,4.7794,4.467,4.4645
32.0,4.8002,4.8064,4.4646,4.4636
34.0,4.8266,4.8338,4.4641,4.4639
36.0,4.8532,4.8613,4.4661,4.4659
38.0,4.8798,4.8889,4.4712,4.4697
40.0,4.9064,4.9165,4.4799,4.4757
42.0,4.9326,4.9438,4.4928,4.4843
44.0,4.9583,4.9708,4.5102,4.496
46.0,4.9833,4.9974,4.5323,4.5113
48.0,5.0072,5.0232,4.5591,4.5309
50.0,5.03,5.0482,4.5904,4.5554
55.0,5.0809,5.1054,4.6858,4.6445
60.0,5.1219,5.1516,4.7982,4.7906
65.0,5.1526,5.1813,4.9192,5.0338
70.0,5.1732,,5.045,
75.0,5.1845,,5.1774,
