period,phase_velocity_rayleigh,phase_velocity_love,group_velocity_rayleigh,group_velocity_love
1.0,3.5197774953830567,3.535671050070557,3.5197774953830567,3.535671050070557
1.0476157527896648,3.526054350851806,3.542851225851807,3.526054350851806,3.542851225851807
1.0974987654930561,3.5330001516330563,3.5507101125705565,3.5330001516330563,3.5507101125705565
1.1497569953977358,3.540693022726806,3.559301421164306,3.540693022726806,3.559301421164306
1.2045035402587823,3.5492062063205556,3.568693511008056,3.5492062063205556,3.568693511008056
1.2618568830660204,3.5586227102268055,3.5789596242893054,3.5586227102268055,3.5789596242893054
1.321941148466029,3.569040190695555,3.590163237570555,3.569040190695555,3.590163237570555
1.384886371393873,3.580541655539305,3.6023922414768053,3.580541655539305,3.6023922414768053
1.4508287784959397,3.5932247610080545,3.6157247610080554,3.5932247610080545,3.6157247610080554
1.5199110829529336,3.607177397726804,3.630238921164305,3.607177397726804,3.630238921164305
1.5922827933410924,3.622487456320554,3.646017729758055,3.622487456320554,3.646017729758055
1.6681005372000588,3.639198882101803,3.663129546164305,3.639198882101803,3.663129546164305
1.7475284000076838,3.6573409719455525,3.6816329641330543,3.6573409719455525,3.6816329641330543
1.8307382802953682,3.676869780539302,3.7015621633518037,3.676869780539302,3.7015621633518037
1.9179102616724888,3.6976632375705516,3.7229073781955533,3.6976632375705516,3.7229073781955533
2.0092330025650473,3.7194869680393006,3.745590483664303,3.7194869680393006,3.745590483664303
2.1049041445120205,3.74198940944555,3.769455229758052,3.74198940944555,3.769455229758052
2.205130739903046,3.7647457571017995,3.7942330617893014,3.7647457571017995,3.7942330617893014
2.3101297000831598,3.787355620383049,3.819533354758051,3.787355620383049,3.819533354758051
2.420128264794382,3.8095699758517987,3.8449166555393,3.8095699758517987,3.8449166555393
2.535364493970112,3.8313937063205477,3.86999233913305,3.8313937063205477,3.86999233913305
2.6560877829466865,3.853110014914297,3.8945846242892994,3.853110014914297,3.8945846242892994
2.782559402207125,3.875197417258047,3.918815581320549,3.875197417258047,3.918815581320549
2.915053062825177,3.898280913351796,3.9430514211642986,3.898280913351796,3.9430514211642986
3.0538555088334154,3.9230636281955453,3.9678243703830485,3.9230636281955453,3.9678243703830485
3.1992671377973836,3.950302397726795,3.9937203664767975,3.950302397726795,3.9937203664767975
3.3516026509388426,3.9807735891330442,4.021335112570547,3.9807735891330442,4.021335112570547
3.511191734215132,4.015277983664294,4.051235014914296,4.015277983664294,4.051235014914296
3.6783797718286344,4.054523589133044,4.083942534445544,4.054523589133044,4.083942534445544
3.8535285937105295,4.098998686789294,4.1199361867892925,4.098998686789294,4.1199361867892925
4.0370172585965545,4.148717925070543,4.159591948508042,4.148717925070543,4.159591948508042
4.229242874389499,4.202763335226793,4.20312466335179,4.202763335226793,4.20312466335179
4.430621457583881,4.258800932883043,4.250456206320539,4.258800932883043,4.250456206320539
4.641588833612779,4.312987944601791,4.301029936789288,4.312987944601791,4.301029936789288
4.862601580065355,4.36113491725804,4.3534835500705364,4.36113491725804,4.3534835500705364
5.09413801481638,4.40084438991429,4.405141264914285,4.40084438991429,4.405141264914285
