period,phase_velocity_rayleigh,phase_velocity_love,group_velocity_rayleigh,group_velocity_love
1.0,1.5011,3.2736,1.3773,3.086
1.1,1.516,3.2956,1.3536,3.0449
1.2,1.5343,3.323,1.3256,2.9927
1.3,1.5565,3.3566,1.2941,2.9335
1.4,1.583,3.3971,1.2604,2.8764
1.5,1.6144,3.4438,1.2255,2.8324
1.6,1.6514,3.4954,1.19,2.8081
1.7,1.6947,3.55,1.1545,2.8044
1.8,1.745,3.6058,1.1189,2.8192
1.9,1.8035,3.6613,1.0835,2.8502
2.0,1.8715,3.7151,1.0487,2.8948
2.1,1.9508,3.7664,1.016,2.9496
2.2,2.0429,3.8145,0.98819,3.0101
2.3,2.149,3.8592,0.97213,3.0717
2.4,2.268,3.9007,0.98175,3.1302
2.5,2.3931,3.9395,1.0424,3.1832
2.6,2.5108,3.9758,1.1815,3.2297
2.7,2.6076,4.0103,1.3911,3.2697
2.8,2.6809,4.0433,1.617,3.3042
2.9,2.7361,4.0751,1.8115,3.3341
3.0,2.7792,4.1059,1.9604,3.3607
3.2,2.8454,4.1651,2.1475,3.4088
3.4,2.8986,4.2215,2.2445,3.4565
3.6,2.9465,4.2749,2.2954,3.5106
3.8,2.9923,4.3247,2.3225,3.5764
4.0,3.0378,4.3699,2.3371,3.657
4.2,3.0837,4.4096,2.3454,3.7534
4.4,3.1304,4.4432,2.351,3.8637
4.6,3.1782,4.4703,2.3555,3.982
4.8,3.2271,4.4911,2.3596,4.0987
5.0,3.2772,4.5063,2.3634,4.2023
5.5,3.4085,4.5276,2.3694,4.3665
6.0,3.5504,4.5375,2.3658,4.4324
6.5,3.7062,4.5434,2.3543,4.46
7.0,3.8782,4.5478,2.3525,4.4736
7.5,4.0629,4.5515,2.4045,4.4813
8.0,4.2448,4.5548,2.5745,4.4861
8.5,4.3988,4.558,2.9135,4.4894
9.0,4.501,4.5611,3.4618,4.4917
9.5,4.5448,4.5641,4.0304,4.4934
10.0,4.5597,4.5672,4.2981,4.4947
11.0,4.5729,4.5736,4.4395,4.4962
12.0,4.5821,4.5803,4.4744,4.4967
13.0,4.5907,4.5876,4.488,4.4964
14.0,4.5994,4.5954,4.4944,4.4955
15.0,4.6082,4.6037,4.4974,4.494
16.0,4.6173,4.6126,4.4984,4.4921
17.0,4.6267,4.622,4.4982,4.4899
18.0,4.6365,4.6319,4.4971,4.4875
19.0,4.6465,4.6423,4.4955,4.4849
20.0,4.6569,4.6531,4.4934,4.4823
21.0,4.6675,4.6643,4.491,4.4797
22.0,4.6785,4.6759,4.4884,4.4771
23.0,4.6897,4.6879,4.4857,4.4747
24.0,4.7012,4.7001,4.4829,4.4724
25.0,4.7129,4.7126,4.4801,4.4703
26.0,4.7249,4.7253,4.4774,4.4683
27.0,4.7371,4.7382,4.4748,4.4667
28.0,4.7494,4.7512,4.4724,4.4652
29.0,4.762,4.7645,4.4702,4.464
30.0,4.7747,4.7778,4.4683,4.4631
32.0,4.8006,4.8049,4.4657,4.4621
34.0,4.8269,4.8322,4.4651,4.4625
36.0,4.8534,4.8597,4.467,4.4645
38.0,4.8801,4.8873,4.4721,4.4683
40.0,4.9066,4.9149,4.4809,4.4743
42.0,4.9328,4.9422,4.4939,4.4829
44.0,4.9584,4.9692,4.5114,4.4946
46.0,4.9833,4.9958,4.5336,4.5099
48.0,5.0071,5.0216,4.5606,4.5294
50.0,5.0299,5.0466,4.5921,4.5539
55.0,5.0805,5.1038,4.6878,4.6431
60.0,5.1212,5.1499,4.8003,4.7891
65.0,5.1516,5.1796,4.9214,5.0323
70.0,5.172,,5.0474,
75.0,5.1831,,5.1802,
